Title,Floor Plan_suit_name,Floor Plan_beds,Floor Plan_baths,Floor Plan_size,Floor Plan_view,Floor Plan_price,Floor Plan_plan_image
The Dylan Condos,"Suite 1AA+D,Suite 1B,Suite 1A+D,Suite 1NN+D,Suite 1HH+D,Suite 1F+D,Suite 1GG+D,Suite 1W+D,Suite 1D+D,Suite 1MM+D,Suite 1BB+D,Suite 1Q+D ,Suite 1V+D,Suite 1LL+D,Suite 1P+D,Suite 1T+D,Suite 1L+D,Suite 1S+D,Suite LW-2,Suite 1Y+D,Suite 1K+D ,Suite 1N+D,Suite 1X+D ,Suite 2A,Suite 1B+D,Suite 1C+D,Suite 2H ,Suite 2J,Suite 2C ,Suite 1M+D,Suite LW-1,Suite 2E,Suite 2G+D,Suite 2G,Suite 2B ,Suite 2A+D,Suite 2B+D,Suite 2F+D,Suite 3M,Suite 3D,Suite 3B,Suite 2E+D,Suite 2C+D,Suite 2D+D,Suite 3L,Suite 3H,Suite 3G ,Suite 3F ,Suite 3E ,Suite 3A","1.5,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,1.5,1.5,1.5,1.5,2,1.5,1.5,2,1.5,2,1.5,0,2,2.5,2,2,2.5,2.5,2.5,3,3,3,2.5,2.5,2.5,3,3,3,3,3,3","1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1.5,1,1,1.5,1,1,1.5,1.5,1.5,2,2,2,2,2,2,2,1,2,2,2.5,2,2,2,2,2,2,2,2,2,2,2,2.5,2,2,2,2.5","56,357,959,760,760,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","East,south,East,West,North South,East,West,West,North South,East,West,East,North South,East,East,North South,North South,West,North,West,West,North East South East,West,West,West,North West South West,East,East,North,North West South West,North,North West South West,North East,West,North West South West,North West,North west South West,North West South West,West,North West South West,South,West,West,West,North West,West,North East South East,North west South west,North West South West,South East","600900,613900,627900,645900,615900,632900,680900,666900,646884,671900,695900,673900,666900,688900,689900,681879,671900,713900,719900,745900,726900,727900,770900,751900,744900,750900,845900,840900,748900,754900,757900,813900,936900,863900,793900,842900,874877,858900,899900,880900,889900,898900,896900,927900,982900,940900,922900,999900,976900,996900",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,,,1,,,,
